Tru Loved	Regent Releasing	Romantic-Comedy
Jack and Jill vs. the World	Lantern Lane Ente…	Romantic-Comedy
The Proposal	Walt Disney	Romantic-Comedy
"He's Just Not That Into You"	Warner Bros.	Romantic-Comedy
The Ugly Truth	Sony Pictures	Romantic-Comedy
It’s Complicated	Universal	Romantic-Comedy
Ghosts of Girlfriends Past	Warner Bros.	Romantic-Comedy
Confessions of a Shopaholic	Walt Disney	Romantic-Comedy
All About Steve	20th Century Fox	Romantic-Comedy
(500) Days of Summer	Fox Searchlight	Romantic-Comedy
Did You Hear About the Morg…	Sony Pictures	Romantic-Comedy
New in Town	Lionsgate	Romantic-Comedy
"I Love You, Beth Cooper"	20th Century Fox	Romantic-Comedy
My Life in Ruins	Fox Searchlight	Romantic-Comedy
Post Grad	20th Century Fox	Romantic-Comedy
Whatever Works	Sony Pictures Cla…	Romantic-Comedy
Easy Virtue	Sony Pictures Cla…	Romantic-Comedy
Love Aaj Kal	Eros Entertainment	Romantic-Comedy
Kambakkht Ishq	Eros Entertainment	Romantic-Comedy
Management	Samuel Goldwyn Films	Romantic-Comedy
"Un baiser s'il vous plaît"	Music Box Films	Romantic-Comedy
White On Rice	Variance Films	Romantic-Comedy
The Answer Man	Magnolia Pictures	Romantic-Comedy
"I Hate Valentine's Day"	IFC Films	Romantic-Comedy
The Bride & The Grooms	Sumbadhat Product…	Romantic-Comedy
Waiting for Dublin	Cinema Libre	Romantic-Comedy
Antarctica	Regent Releasing	Romantic-Comedy
Tru Loved	Regent Releasing	Romantic-Comedy
"I Can't Think Straight"	Regent Releasing	Romantic-Comedy
"Valentine's Day"	Warner Bros.	Romantic-Comedy
The Bounty Hunter	Sony Pictures	Romantic-Comedy
It’s Complicated	Universal	Romantic-Comedy
Life as We Know It	Warner Bros.	Romantic-Comedy
The Back-up Plan	CBS Films	Romantic-Comedy
When in Rome	Walt Disney	Romantic-Comedy
"She's Out of My League"	Paramount Pictures	Romantic-Comedy
The Switch	Miramax	Romantic-Comedy
Leap Year	Universal	Romantic-Comedy
How Do You Know?	Sony Pictures	Romantic-Comedy
Just Wright	Fox Searchlight	Romantic-Comedy
Going the Distance	Warner Bros.	Romantic-Comedy
Did You Hear About the Morg…	Sony Pictures	Romantic-Comedy
Greenberg	Focus Features	Romantic-Comedy
Flipped	Warner Bros.	Romantic-Comedy
Housefull	Eros Entertainment	Romantic-Comedy
I Hate Luv Storys	UTV Communications	Romantic-Comedy
Aisha	Viva Entertainment	Romantic-Comedy
Fei Cheng Wu Rao 2	China Lion Film D…	Romantic-Comedy
De Mai Tinh	Variance Films	Romantic-Comedy
The Good Guy	Roadside Attractions	Romantic-Comedy
Feed the Fish	Strand	Romantic-Comedy
"The People I've Slept With"	People Pictures	Romantic-Comedy
16 to Life	Waterdog Films	Romantic-Comedy
The Freebie	Phase 4 Films	Romantic-Comedy
BearCity	TLA Releasing	Romantic-Comedy
Speed-Dating	Rockstone Releasing	Romantic-Comedy
White On Rice	Variance Films	Romantic-Comedy
"Un baiser s'il vous plaît"	Music Box Films	Romantic-Comedy
